Timestamp,1. Ülke,2. Cinsiyet,3. Sınıf Düzeyi,4. Yapay zekâ bilginizi nasıl değerlendirirsiniz?,"2.1 Yapay zekâ araçlarını (Chatgbt, Gemini, Claude vb.) ne sıklıkla kullanıyorsunuz?",2.2 Yapay zekayı en çok hangi görevler için kullanıyorsunuz? (En fazla 3 seçenek belirleyin) ,"2.2.1 Yapay zekâ kullanarak metin veya içerik oluşturduğunuzda, ortaya çıkan çıktıyı genellikle nasıl yönetirsiniz?","2.2.2 Yapay zekâ tarafından üretilen çıktının kalitesini, kendi başınıza üretebileceğiniz sonuçla karşılaştırdığınızda genellikle nasıl değerlendirirsiniz?","2.2.3 Genel olarak, yapay zekâ kullanımı ödev ve görevleriniz için gereken zaman ve çaba üzerinde nasıl bir etki yaratmaktadır?","2.2.4  Tatmin edici bir sonuç almak için yapay zeka ile etkileşime (örneğin komutları yeniden yazmak, ayarlamalar istemek) genellikle ne kadar zaman ve çaba harcıyorsunuz? ",2.3 İnsan tarafından oluşturulan bir metin ya da görsel ile yapay zekâ tarafından üretilmiş olanı ayırt etme becerinize ne kadar güveniyorsunuz?,"2.3.1  Yapay zekâ aracı size yeni tarihsel, bilimsel ya da olgusal bilgiler sunduğunda genellikle ne yaparsınız?","2.3.2 Yapay zekâ aracının, son derece ikna edici görünmesine rağmen aslında tamamen uydurma olan bir kaynak, bilgi ya da isim ürettiğini hiç fark ettiniz mi?","2.3.3 Yapay zekâ tarafından üretilen görsellerin veya metinlerin kültürel ya da toplumsal cinsiyet kalıp yargılarını yansıttığını (örneğin, doktorların çoğunlukla erkek, hemşirelerin kadın olarak tasvir edilmesi) hiç fark ettiniz mi?","2.4 Okul ve eğitimde yapay zekânın entegrasyonunu düşündüğünüzde, aşağıdaki duygulardan hangileri ağır basıyor? (En fazla 3 seçenek işaretleyiniz)",DS1.1 Yeni bir dijital teknoloji piyasaya sürüldüğünde:,DS1.2 Okul ile ilgili ödev ve görevler için üretken yapay zekâ araçlarını ne sıklıkla kullanırsınız?,DS1.3 Yapay zekâyı öncelikli olarak nasıl görüyorsunuz?,"DS1.5 Öğretmenlerim, eğitim sürecimde yapay zekânın nasıl kullanılacağına ilişkin açık yönergeler ve destek sağlamaktadır.","DS2 Lütfen Yapay Zekânın nasıl çalıştığına ilişkin aşağıdaki ifadelere katılım düzeyinizi belirtiniz. [Yapay zekâ araçları, ürettikleri metnin anlamını gerçekten “anlar”.]","DS2 Lütfen Yapay Zekânın nasıl çalıştığına ilişkin aşağıdaki ifadelere katılım düzeyinizi belirtiniz. [Yapay zekâ tarafından sunulan bilgiler genellikle tarafsız, nesnel ve önyargısızdır.]",DS2 Lütfen Yapay Zekânın nasıl çalıştığına ilişkin aşağıdaki ifadelere katılım düzeyinizi belirtiniz. [Yapay zekânın doğası gereği insanlardan daha zeki ve yetkin olduğunu düşünüyorum.],DS2 Lütfen Yapay Zekânın nasıl çalıştığına ilişkin aşağıdaki ifadelere katılım düzeyinizi belirtiniz. [Yapay zekâ tarafından üretilen yanıtların doğruluğuna genellikle güvenirim ve başka kaynaklarla doğrulama ihtiyacı hissetmem.],DS2 Lütfen Yapay Zekânın nasıl çalıştığına ilişkin aşağıdaki ifadelere katılım düzeyinizi belirtiniz. [Bir üretken yapay zekâ asistanının yanıtları nasıl oluşturduğunu açık bir şekilde anlıyorum.],"DS2 Lütfen Yapay Zekânın nasıl çalıştığına ilişkin aşağıdaki ifadelere katılım düzeyinizi belirtiniz. [Yapay zekâya nasıl soru sorduğumun ya da talepte bulunduğumun, elde edilen sonucun kalitesi üzerinde herhangi bir etkisi yoktur.]",DS3 Eğitimde yapay zekâ kullanımının aşağıdaki olası sonuçları konusunda ne düzeyde endişe duyuyorsunuz? [Yapay zekâ kullanmadığım hâlde öğretmenlerin beni ödevlerimde haksız şekilde yapay zekâ kullanmakla suçlaması.],"DS3 Eğitimde yapay zekâ kullanımının aşağıdaki olası sonuçları konusunda ne düzeyde endişe duyuyorsunuz? [Ödevlerimi yapmak için yapay zekâ kullanmanın, eleştirel düşünme ve bağımsız öğrenme becerilerimi zayıflatması.]","DS3 Eğitimde yapay zekâ kullanımının aşağıdaki olası sonuçları konusunda ne düzeyde endişe duyuyorsunuz? [İnsan tarafından üretilen içerik ile yapay zekâ tarafından üretilen içeriği ayırt etmenin zorluğu (ör. sahte haberler, deepfake içerikler).]","DS3 Eğitimde yapay zekâ kullanımının aşağıdaki olası sonuçları konusunda ne düzeyde endişe duyuyorsunuz? [Yapay zekâ araçlarının mevcut toplumsal önyargıları ve ayrımcılığı (ör. cinsiyet, ırk, kültürel kalıp yargılar) pekiştirmesi.]",DS3 Eğitimde yapay zekâ kullanımının aşağıdaki olası sonuçları konusunda ne düzeyde endişe duyuyorsunuz? [Ücretli (premium) yapay zekâ araçlarına eşit olmayan erişimin öğrenciler arasında haksız avantajlar yaratması.],DS3.8 Ücretli (premium) yapay zekâ araçlarına eşit olmayan erişimin öğrenciler arasında haksız avantajlar yaratması.,DS4  Lütfen Yapay Zeka ile ilgili beklentilerinize dair aşağıdaki ifadelere katılım düzeyinizi belirtiniz.  [Yapay zekanın günlük çalışma/iş görevlerimi önemli ölçüde hızlandırmasını ve beni daha verimli kılmasını bekliyorum.],"DS4  Lütfen Yapay Zeka ile ilgili beklentilerinize dair aşağıdaki ifadelere katılım düzeyinizi belirtiniz.  [Yapay zekanın, öğrenme materyallerini her öğrencinin bireysel öğrenme hızına ve tarzına göre mükemmel bir şekilde uyarlayabileceğine inanıyorum.]","DS4  Lütfen Yapay Zeka ile ilgili beklentilerinize dair aşağıdaki ifadelere katılım düzeyinizi belirtiniz.  [Yapay zekanın, farklı bilişsel ihtiyaçları veya dil engelleri olan öğrenciler için öğrenmeyi daha erişilebilir ve kapsayıcı hale getirmesini bekliyorum. ]","DS4  Lütfen Yapay Zeka ile ilgili beklentilerinize dair aşağıdaki ifadelere katılım düzeyinizi belirtiniz.  [Yapay zekayı, kendimi yetersiz hissettirmeden sorularımı yanıtlamak için 7/24 hazır bulunan, yargılayıcı olmayan bir özel ders öğretmeni olarak görüyorum.]",DS4  Lütfen Yapay Zeka ile ilgili beklentilerinize dair aşağıdaki ifadelere katılım düzeyinizi belirtiniz.  [Yapay zekanın gelecekteki üniversite veya kariyer seçimlerim için geleneksel okul rehberliğinden daha iyi bir yönlendirme sağlamasını bekliyorum. ]
09/04/2026 18:56:17,Türkiye,Kadın,3. Yıl (11. Sınıf),1 - Tamamen Başlangıç Seviyesi: Neredeyse hiçbir bilgim yok. Terimi duydum ancak ne olduğunu ve nasıl kullanılacağını gerçekten bilmiyorum.,Haftada birkaç kez,"Metin yazmak/taslak oluşturmak (e-posta, makale, rapor)",Olası hataları belirlemek amacıyla gözden geçirir ve gerekli durumlarda metni iyileştiririm.,"Kendi çalışmam daha iyi olurdu, ancak yapay zekâ daha hızlıydı.",Önem ölçüde zaman tasarrufu sağlıyor.,Orta düzeyde zaman harcarım (birkaç düzeltme veya iyileştirme talep ederim).,Biraz güveniyorum,"Doğrulamak için hızlı bir arama yaparım (ör. Google, Wikipedia).","Evet, sık sık","Hayır, hiç","Kaygı, ",Yalnızca okul veya iş için zorunlu olduğunda kullanırım.,Haftada birkaç kez,Yaratıcı bir yardımcı/işbirlikçi (fikir üretmek ve birlikte içerik oluşturmak için),Katılmıyorum,Katılıyorum,Katılmıyorum,Kesinlikle katılmıyorum,Kesinlikle katılmıyorum,Katılmıyorum,Katılıyorum,Az endişe duyuyorum,Az endişe duyuyorum,Az endişe duyuyorum,Az endişe duyuyorum,Az endişe duyuyorum,Katılmıyorum,Katılıyorum,Kesinlikle Katılıyorum,Katılıyorum,Katılmıyorum,Katılıyorum
09/04/2026 18:56:11,Türkiye,Kadın,2. Yıl (10. Sınıf),3 - Orta Seviye: Bazı yapay zekâ araçlarını basit görevler için ara sıra kullanıyorum ve temel işlevlerini anlıyorum.,Haftada birkaç kez,"Fikir fırtınası yapmak ve ilham almak, Metin yazmak/taslak oluşturmak (e-posta, makale, rapor), Ödevlere yardımcı olmak / Ders planlaması",Olası hataları belirlemek amacıyla gözden geçirir ve gerekli durumlarda metni iyileştiririm.,"Kendi çalışmam daha iyi olurdu, ancak yapay zekâ daha hızlıydı.",İşimi zenginleştiriyor (aklıma gelmeyecek fikirler veriyor) ancak aşağı yukarı aynı zamanı alıyor.,Orta düzeyde zaman harcarım (birkaç düzeltme veya iyileştirme talep ederim).,Biraz güveniyorum,"Doğrulamak için hızlı bir arama yaparım (ör. Google, Wikipedia).",Yapay zekânın bunu yapabildiğini bilmiyordum,"Evet, bazen","Kaygı, Şüphecilik, Kuşku",Arkadaşlarımın veya meslektaşlarımın olumlu geri bildirimlerinden sonra denerim.,Ayda birkaç kez,Yaratıcı bir yardımcı/işbirlikçi (fikir üretmek ve birlikte içerik oluşturmak için),Katılıyorum,Katılıyorum,Katılmıyorum,Katılmıyorum,Kesinlikle katılmıyorum,Katılıyorum,Katılmıyorum,Hiç endişe duymuyorum,Orta düzeyde endişe duyuyorum,Az endişe duyuyorum,Orta düzeyde endişe duyuyorum,Çok endişe duyuyorum,Katılıyorum,Katılıyorum,Katılıyorum,Katılıyorum,Katılıyorum,Katılmıyorum
09/04/2026 18:55:55,Türkiye,Kadın,4. Yıl (12. Sınıf),2 - Acemi: Temel kavramları biliyorum ve bazı yapay zekâ araçlarını gördüm; ancak bunları nadiren ya da hiç kullanmıyorum.,Haftada birkaç kez,Fikir fırtınası yapmak ve ilham almak,"Çıktıyı bir taslak veya ilham kaynağı olarak kullanır, büyük ölçüde yeniden yazarım.","Kendi çalışmam daha iyi olurdu, ancak yapay zekâ daha hızlıydı.",Zamanım veya çabam üzerinde önemli bir etkisi yok.,Çok az zaman harcarım (genellikle ilk verilen yanıtı kabul ederim).,Hiç güvenmiyorum,Veriyi doğrulamak için birincil ve güvenilir kaynakları sistematik olarak kontrol ederim.,"Evet, bazen","Evet, sık sık",Şüphecilik,Yalnızca okul veya iş için zorunlu olduğunda kullanırım.,Hiç,Kişisel bir öğretmen/rehber (kavramları açıklayan ve öğrenmeme yardımcı olan),Katılıyorum,Katılmıyorum,Katılmıyorum,Kesinlikle katılmıyorum,Katılıyorum,Katılmıyorum,Katılmıyorum,Hiç endişe duymuyorum,Hiç endişe duymuyorum,Son derece endişe duyuyorum,Son derece endişe duyuyorum,Çok endişe duyuyorum,Katılıyorum,Kesinlikle Katılmıyorum,Kesinlikle Katılmıyorum,Katılmıyorum,Kesinlikle Katılmıyorum,Kesinlikle Katılmıyorum
09/04/2026 18:55:49,Türkiye,Erkek,4. Yıl (12. Sınıf),2 - Acemi: Temel kavramları biliyorum ve bazı yapay zekâ araçlarını gördüm; ancak bunları nadiren ya da hiç kullanmıyorum.,Haftada birkaç kez,Metin çevirmek veya dil öğrenmek,Üretilen içeriği ayrıntılı şekilde incelemeden/okumadan doğrudan kopyalayıp yapıştırırım.,"Yapay zekâ, benim elde edebileceğimden çok daha iyi bir sonuç üretti.",Önem ölçüde zaman tasarrufu sağlıyor.,Orta düzeyde zaman harcarım (birkaç düzeltme veya iyileştirme talep ederim).,Çok güveniyorum,"Doğrulamak için hızlı bir arama yaparım (ör. Google, Wikipedia).","Evet, bazen",Bu konuya hiç dikkat etmedim.,"Kaygı, Korku, Kuşku",Yaygınlaşmasını ve çoğu insan tarafından kullanılmasını beklerim.,Ayda birkaç kez,Akıllı bir arama motoru (bilgiye hızlı ve doğru şekilde ulaşmak için),Kesinlikle katılmıyorum,Kesinlikle katılmıyorum,Kesinlikle katılmıyorum,Kesinlikle katılmıyorum,Kesinlikle katılmıyorum,Kesinlikle katılmıyorum,Kesinlikle katılmıyorum,Az endişe duyuyorum,Hiç endişe duymuyorum,Az endişe duyuyorum,Hiç endişe duymuyorum,Az endişe duyuyorum,Katılmıyorum,Kesinlikle Katılmıyorum,Katılmıyorum,Kesinlikle Katılmıyorum,Kesinlikle Katılmıyorum,Katılmıyorum
09/04/2026 18:55:35,Türkiye,Kadın,1. Yıl (9. Sınıf),2 - Acemi: Temel kavramları biliyorum ve bazı yapay zekâ araçlarını gördüm; ancak bunları nadiren ya da hiç kullanmıyorum.,Her gün,"Fikir fırtınası yapmak ve ilham almak, Matematik/mantık problemlerini çözmek veya kod yazmak, Ödevlere yardımcı olmak / Ders planlaması","Büyük hataları kontrol etmek için okurum, ancak genel olarak büyük ölçüde olduğu gibi bırakırım.",Yapay zeka ile ben benzer bir sonuç üretirdik.,Önem ölçüde zaman tasarrufu sağlıyor.,Orta düzeyde zaman harcarım (birkaç düzeltme veya iyileştirme talep ederim).,Biraz güveniyorum,Cevabından emin olup olmadığını yapay zekâya sorarım.,Yapay zekânın bunu yapabildiğini bilmiyordum,Bu konuya hiç dikkat etmedim.,"Merak, Umut",Arkadaşlarımın veya meslektaşlarımın olumlu geri bildirimlerinden sonra denerim.,Günlük,Akıllı bir arama motoru (bilgiye hızlı ve doğru şekilde ulaşmak için),Katılıyorum,Kesinlikle katılmıyorum,Katılıyorum,Katılmıyorum,Katılıyorum,Katılmıyorum,Kesinlikle katılıyorum,Çok endişe duyuyorum,Az endişe duyuyorum,Çok endişe duyuyorum,Son derece endişe duyuyorum,Son derece endişe duyuyorum,Kesinlikle katılıyorum,Kesinlikle Katılıyorum,Katılmıyorum,Kesinlikle Katılıyorum,Katılıyorum,Kesinlikle Katılmıyorum
09/04/2026 18:54:47,Türkiye,Erkek,3. Yıl (11. Sınıf),"4 - İleri Seviye: Yapay zekâ araçlarını çeşitli görevler için düzenli olarak kullanıyorum; yetenekleri, sınırlılıkları ve olası önyargıları hakkında iyi bir anlayışa sahibim.",Her gün,"Metin yazmak/taslak oluşturmak (e-posta, makale, rapor), Ödevlere yardımcı olmak / Ders planlaması, Görsel veya sunum oluşturmak","Çıktıyı bir taslak veya ilham kaynağı olarak kullanır, büyük ölçüde yeniden yazarım.","Kendi çalışmam daha iyi olurdu, ancak yapay zekâ daha hızlıydı.",İşimi zenginleştiriyor (aklıma gelmeyecek fikirler veriyor) ancak aşağı yukarı aynı zamanı alıyor.,Orta düzeyde zaman harcarım (birkaç düzeltme veya iyileştirme talep ederim).,Çok güveniyorum,"Doğrulamak için hızlı bir arama yaparım (ör. Google, Wikipedia).","Evet, bazen",Bu konuya hiç dikkat etmedim.,"Kaygı, Korku, Şüphecilik",İlk deneyen kişilerden biri olurum.,Ayda birkaç kez,Yaratıcı bir yardımcı/işbirlikçi (fikir üretmek ve birlikte içerik oluşturmak için),Kesinlikle katılmıyorum,Katılmıyorum,Katılıyorum,Katılıyorum,Katılmıyorum,Katılıyorum,Kesinlikle katılmıyorum,Hiç endişe duymuyorum,Çok endişe duyuyorum,Hiç endişe duymuyorum,Hiç endişe duymuyorum,Orta düzeyde endişe duyuyorum,Kesinlikle katılıyorum,Kesinlikle Katılıyorum,Kesinlikle Katılmıyorum,Katılmıyorum,Katılmıyorum,Katılmıyorum
09/04/2026 18:54:45,Türkiye,Kadın,4. Yıl (12. Sınıf),2 - Acemi: Temel kavramları biliyorum ve bazı yapay zekâ araçlarını gördüm; ancak bunları nadiren ya da hiç kullanmıyorum.,Nadiren,Ödevlere yardımcı olmak / Ders planlaması,Olası hataları belirlemek amacıyla gözden geçirir ve gerekli durumlarda metni iyileştiririm.,"Kendi çalışmam daha iyi olurdu, ancak yapay zekâ daha hızlıydı.",Önem ölçüde zaman tasarrufu sağlıyor.,Orta düzeyde zaman harcarım (birkaç düzeltme veya iyileştirme talep ederim).,Biraz güveniyorum,Cevabından emin olup olmadığını yapay zekâya sorarım.,Yapay zekânın bunu yapabildiğini bilmiyordum,"Hayır, hiç",Şüphecilik,Arkadaşlarımın veya meslektaşlarımın olumlu geri bildirimlerinden sonra denerim.,Haftada birkaç kez,Akıllı bir arama motoru (bilgiye hızlı ve doğru şekilde ulaşmak için),Katılmıyorum,Katılmıyorum,Katılmıyorum,Kesinlikle katılmıyorum,Katılmıyorum,Katılmıyorum,Kesinlikle katılmıyorum,Orta düzeyde endişe duyuyorum,Orta düzeyde endişe duyuyorum,Orta düzeyde endişe duyuyorum,Orta düzeyde endişe duyuyorum,Orta düzeyde endişe duyuyorum,Katılıyorum,Katılıyorum,Katılıyorum,Katılıyorum,Katılıyorum,Kesinlikle Katılmıyorum
09/04/2026 18:54:38,Türkiye,Kadın,2. Yıl (10. Sınıf),3 - Orta Seviye: Bazı yapay zekâ araçlarını basit görevler için ara sıra kullanıyorum ve temel işlevlerini anlıyorum.,Haftada birkaç kez,"Matematik/mantık problemlerini çözmek veya kod yazmak, Ödevlere yardımcı olmak / Ders planlaması, Görsel veya sunum oluşturmak",Olası hataları belirlemek amacıyla gözden geçirir ve gerekli durumlarda metni iyileştiririm.,"Yapay zekâ, benim elde edebileceğimden çok daha iyi bir sonuç üretti.",Önem ölçüde zaman tasarrufu sağlıyor.,Orta düzeyde zaman harcarım (birkaç düzeltme veya iyileştirme talep ederim).,Biraz güveniyorum,"Doğrulamak için hızlı bir arama yaparım (ör. Google, Wikipedia).",Yapay zekânın bunu yapabildiğini bilmiyordum,"Hayır, hiç",Merak,Yaygınlaşmasını ve çoğu insan tarafından kullanılmasını beklerim.,Haftada birkaç kez,Yaratıcı bir yardımcı/işbirlikçi (fikir üretmek ve birlikte içerik oluşturmak için),Katılıyorum,Katılmıyorum,Kesinlikle katılıyorum,Katılıyorum,Katılmıyorum,Katılmıyorum,Katılıyorum,Orta düzeyde endişe duyuyorum,Son derece endişe duyuyorum,Az endişe duyuyorum,Orta düzeyde endişe duyuyorum,Çok endişe duyuyorum,Katılıyorum,Katılıyorum,Katılıyorum,Katılıyorum,Katılıyorum,Katılıyorum
09/04/2026 18:53:59,Türkiye,Erkek,4. Yıl (12. Sınıf),1 - Tamamen Başlangıç Seviyesi: Neredeyse hiçbir bilgim yok. Terimi duydum ancak ne olduğunu ve nasıl kullanılacağını gerçekten bilmiyorum.,Haftada birkaç kez,Görsel veya sunum oluşturmak,"Büyük hataları kontrol etmek için okurum, ancak genel olarak büyük ölçüde olduğu gibi bırakırım.","Yapay zekâ, benim elde edebileceğimden çok daha iyi bir sonuç üretti.",Önem ölçüde zaman tasarrufu sağlıyor.,Önemli ölçüde zaman harcarım (çıktı mükemmel olana kadar ileri geri uzun etkileşimlerde bulunurum).,Biraz güveniyorum,Tamamen güvenir ve olduğu gibi kullanırım.,"Hayır, hiç","Evet, bazen",Merak,İlk deneyen kişilerden biri olurum.,Haftada birkaç kez,Kişisel bir öğretmen/rehber (kavramları açıklayan ve öğrenmeme yardımcı olan),Katılmıyorum,Katılmıyorum,Katılıyorum,Katılmıyorum,Katılıyorum,Katılmıyorum,Kesinlikle katılmıyorum,Hiç endişe duymuyorum,Az endişe duyuyorum,Çok endişe duyuyorum,Çok endişe duyuyorum,Çok endişe duyuyorum,Katılıyorum,Katılıyorum,Katılıyorum,Katılıyorum,Katılıyorum,Katılıyorum
09/04/2026 18:53:57,Türkiye,Erkek,1. Yıl (9. Sınıf),"5 – Uzman Seviyesi: Yapay zekânın nasıl çalıştığını derinlemesine biliyorum, kapsamlı şekilde kullanıyorum ve başkalarına sorumlu kullanım konusunda rahatlıkla rehberlik edebilirim.",Her gün,"Fikir fırtınası yapmak ve ilham almak, Uzun belgeleri veya makaleleri özetlemek, Görsel veya sunum oluşturmak",Olası hataları belirlemek amacıyla gözden geçirir ve gerekli durumlarda metni iyileştiririm.,Yapay zeka ile ben benzer bir sonuç üretirdik.,Önem ölçüde zaman tasarrufu sağlıyor.,Önemli ölçüde zaman harcarım (çıktı mükemmel olana kadar ileri geri uzun etkileşimlerde bulunurum).,Çok güveniyorum,Veriyi doğrulamak için birincil ve güvenilir kaynakları sistematik olarak kontrol ederim.,"Evet, bazen","Evet, bazen","Heyecan, Kaygı, Merak",İlk deneyen kişilerden biri olurum.,Günlük,Yaratıcı bir yardımcı/işbirlikçi (fikir üretmek ve birlikte içerik oluşturmak için),Kesinlikle katılıyorum,Katılmıyorum,Kesinlikle katılmıyorum,Katılmıyorum,Katılmıyorum,Kesinlikle katılmıyorum,Katılmıyorum,Hiç endişe duymuyorum,Hiç endişe duymuyorum,Son derece endişe duyuyorum,Az endişe duyuyorum,Son derece endişe duyuyorum,Kesinlikle katılıyorum,Kesinlikle Katılıyorum,Katılıyorum,Katılmıyorum,Katılıyorum,Katılmıyorum
09/04/2026 18:53:57,Türkiye,Kadın,2. Yıl (10. Sınıf),3 - Orta Seviye: Bazı yapay zekâ araçlarını basit görevler için ara sıra kullanıyorum ve temel işlevlerini anlıyorum.,Her gün,"Fikir fırtınası yapmak ve ilham almak, Metin çevirmek veya dil öğrenmek, Metin yazmak/taslak oluşturmak (e-posta, makale, rapor), Ödevlere yardımcı olmak / Ders planlaması, Görsel veya sunum oluşturmak",Olası hataları belirlemek amacıyla gözden geçirir ve gerekli durumlarda metni iyileştiririm.,"Kendi çalışmam daha iyi olurdu, ancak yapay zekâ daha hızlıydı.",Önem ölçüde zaman tasarrufu sağlıyor.,Önemli ölçüde zaman harcarım (çıktı mükemmel olana kadar ileri geri uzun etkileşimlerde bulunurum).,Biraz güveniyorum,Cevabından emin olup olmadığını yapay zekâya sorarım.,"Evet, bazen",Bu konuya hiç dikkat etmedim.,"Merak, Şüphecilik, ",Yalnızca okul veya iş için zorunlu olduğunda kullanırım.,Günlük,Kişisel bir öğretmen/rehber (kavramları açıklayan ve öğrenmeme yardımcı olan),Katılıyorum,Katılıyorum,Katılmıyorum,Katılıyorum,Kesinlikle katılmıyorum,Katılıyorum,Kesinlikle katılmıyorum,Hiç endişe duymuyorum,Az endişe duyuyorum,Orta düzeyde endişe duyuyorum,Hiç endişe duymuyorum,Orta düzeyde endişe duyuyorum,Katılıyorum,Katılıyorum,Katılıyorum,Kesinlikle Katılıyorum,Kesinlikle Katılıyorum,Kesinlikle Katılıyorum
09/04/2026 18:53:54,Türkiye,Erkek,4. Yıl (12. Sınıf),"4 - İleri Seviye: Yapay zekâ araçlarını çeşitli görevler için düzenli olarak kullanıyorum; yetenekleri, sınırlılıkları ve olası önyargıları hakkında iyi bir anlayışa sahibim.",Her gün,"Fikir fırtınası yapmak ve ilham almak, Metin çevirmek veya dil öğrenmek, Matematik/mantık problemlerini çözmek veya kod yazmak, Ödevlere yardımcı olmak / Ders planlaması",Yapay zekâyı yalnızca tamamen kendi yazdığım içeriği gözden geçirmek veya düzeltmek amacıyla kullanırım.,Yapay zekâ çıktısı düşük kaliteli/yanlıştı ve büyük ölçüde yeniden yapmam gerekti.,Önem ölçüde zaman tasarrufu sağlıyor.,Orta düzeyde zaman harcarım (birkaç düzeltme veya iyileştirme talep ederim).,Biraz güveniyorum,"Doğrulamak için hızlı bir arama yaparım (ör. Google, Wikipedia).","Evet, bazen","Hayır, hiç","Heyecan, Merak, Umut, Coşku",İlk deneyen kişilerden biri olurum.,Günlük,Kişisel bir öğretmen/rehber (kavramları açıklayan ve öğrenmeme yardımcı olan),Kesinlikle katılmıyorum,Katılmıyorum,Katılıyorum,Katılıyorum,Katılıyorum,Katılmıyorum,Kesinlikle katılmıyorum,Hiç endişe duymuyorum,Hiç endişe duymuyorum,Orta düzeyde endişe duyuyorum,Hiç endişe duymuyorum,Hiç endişe duymuyorum,Kesinlikle katılmıyorum,Kesinlikle Katılıyorum,Kesinlikle Katılıyorum,Kesinlikle Katılıyorum,Kesinlikle Katılıyorum,Kesinlikle Katılıyorum
09/04/2026 18:53:12,Afganistan,Erkek,2. Yıl (10. Sınıf),1 - Tamamen Başlangıç Seviyesi: Neredeyse hiçbir bilgim yok. Terimi duydum ancak ne olduğunu ve nasıl kullanılacağını gerçekten bilmiyorum.,Hiçbir zaman,Yapay zeka araçlarını kullanmıyorum,Yapay zekâyı yalnızca tamamen kendi yazdığım içeriği gözden geçirmek veya düzeltmek amacıyla kullanırım.,Yapay zekâ çıktısı düşük kaliteli/yanlıştı ve büyük ölçüde yeniden yapmam gerekti.,"Zaman kaybı (komut yazmak ve düzeltmek için harcadığım süre, işi kendi başıma yapmamdan daha uzun sürüyor).",O kadar fazla zaman alır ki bazen vazgeçer ve işi kendim yaparım.,Hiç güvenmiyorum,"Doğrulamak için hızlı bir arama yaparım (ör. Google, Wikipedia).","Evet, sık sık","Evet, sık sık","Şüphecilik, Irkçılık",Yaygınlaşmasını ve çoğu insan tarafından kullanılmasını beklerim.,Nadiren,Bir kısayol (zor işleri benim yerime yapan veya ödevlerimi tamamlayan),Kesinlikle katılmıyorum,Kesinlikle katılıyorum,Kesinlikle katılıyorum,Kesinlikle katılıyorum,Kesinlikle katılıyorum,Kesinlikle katılıyorum,Kesinlikle katılıyorum,Son derece endişe duyuyorum,Son derece endişe duyuyorum,Son derece endişe duyuyorum,Son derece endişe duyuyorum,Son derece endişe duyuyorum,Kesinlikle katılmıyorum,Kesinlikle Katılıyorum,Kesinlikle Katılıyorum,Kesinlikle Katılıyorum,Kesinlikle Katılıyorum,Kesinlikle Katılıyorum
09/04/2026 18:52:55,Türkiye,Erkek,2. Yıl (10. Sınıf),"4 - İleri Seviye: Yapay zekâ araçlarını çeşitli görevler için düzenli olarak kullanıyorum; yetenekleri, sınırlılıkları ve olası önyargıları hakkında iyi bir anlayışa sahibim.",Nadiren,"Metin çevirmek veya dil öğrenmek, Sosyal",Olası hataları belirlemek amacıyla gözden geçirir ve gerekli durumlarda metni iyileştiririm.,Yapay zeka ile ben benzer bir sonuç üretirdik.,Önem ölçüde zaman tasarrufu sağlıyor.,Orta düzeyde zaman harcarım (birkaç düzeltme veya iyileştirme talep ederim).,Biraz güveniyorum,Cevabından emin olup olmadığını yapay zekâya sorarım.,"Evet, bazen","Hayır, hiç","Heyecan, Merak, Coşku",Arkadaşlarımın veya meslektaşlarımın olumlu geri bildirimlerinden sonra denerim.,Ayda birkaç kez,Bir eğlence aracı (yalnızca eğlence amaçlı),Katılıyorum,Katılıyorum,Katılmıyorum,Katılıyorum,Katılmıyorum,Katılıyorum,Katılmıyorum,Hiç endişe duymuyorum,Orta düzeyde endişe duyuyorum,Az endişe duyuyorum,Orta düzeyde endişe duyuyorum,Az endişe duyuyorum,Katılmıyorum,Katılmıyorum,Katılıyorum,Katılmıyorum,Katılıyorum,Katılmıyorum
09/04/2026 18:52:17,Türkiye,Erkek,1. Yıl (9. Sınıf),3 - Orta Seviye: Bazı yapay zekâ araçlarını basit görevler için ara sıra kullanıyorum ve temel işlevlerini anlıyorum.,Haftada birkaç kez,"Fikir fırtınası yapmak ve ilham almak, Matematik/mantık problemlerini çözmek veya kod yazmak, Ödevlere yardımcı olmak / Ders planlaması, Görsel veya sunum oluşturmak","Büyük hataları kontrol etmek için okurum, ancak genel olarak büyük ölçüde olduğu gibi bırakırım.",Yapay zekâ çıktısı düşük kaliteli/yanlıştı ve büyük ölçüde yeniden yapmam gerekti.,Önem ölçüde zaman tasarrufu sağlıyor.,Önemli ölçüde zaman harcarım (çıktı mükemmel olana kadar ileri geri uzun etkileşimlerde bulunurum).,Çok güveniyorum,Tamamen güvenir ve olduğu gibi kullanırım.,"Evet, bazen","Evet, bazen",Umut,İlk deneyen kişilerden biri olurum.,Hiç,Yaratıcı bir yardımcı/işbirlikçi (fikir üretmek ve birlikte içerik oluşturmak için),Katılmıyorum,Katılmıyorum,Katılmıyorum,Katılmıyorum,Kesinlikle katılmıyorum,Katılmıyorum,Katılmıyorum,Hiç endişe duymuyorum,Hiç endişe duymuyorum,Hiç endişe duymuyorum,Hiç endişe duymuyorum,Hiç endişe duymuyorum,Kesinlikle katılmıyorum,Kesinlikle Katılmıyorum,Katılmıyorum,Kesinlikle Katılmıyorum,Katılmıyorum,Kesinlikle Katılmıyorum
